date,symbol,company_name,sector,current_price,previous_close,change_pct,volume,high,low,eic_score,economy_score,industry_score,company_score,signal,last_updated
2025-09-15,SSI,SSI,Securities,42.2,41.9,0.7159904534606307,40521000,42.65,41.45,6.0,6.5,5.5,6.0,HOLD,2025-09-15T08:52:01.460690
2025-09-15,VCI,VCI,Securities,45.15,44.3,1.918735891647859,6083800,45.35,44.6,5.9,6.5,6.0,5.0,HOLD,2025-09-15T08:52:04.057586
2025-09-15,VND,VND,Securities,24.6,23.9,2.9288702928870416,23776400,24.65,24.1,6.0,6.5,6.0,5.5,HOLD,2025-09-15T08:52:06.158211
2025-09-15,HCM,HCM,Securities,27.7,27.4,1.0948905109489078,8503700,28.1,27.55,5.9,6.5,6.0,5.0,HOLD,2025-09-15T08:52:08.398535
2025-09-15,VCB,VCB,Banks,65.8,65.8,0.0,5367400,66.0,65.5,5.9,6.5,5.4,6.0,HOLD,2025-09-15T08:52:11.710898
2025-09-15,BID,BID,Banks,42.2,40.95,3.0525030525030523,7330300,42.2,41.05,6.6,6.5,7.4,5.5,BUY,2025-09-15T08:52:13.728686
2025-09-15,CTG,CTG,Banks,51.6,50.4,2.3809523809523867,12875800,51.6,49.95,6.2,6.5,6.4,5.5,HOLD,2025-09-15T08:52:16.106010
2025-09-15,TCB,TCB,Banks,39.0,38.6,1.0362694300518096,16479300,39.0,38.55,6.2,6.5,6.4,5.5,HOLD,2025-09-15T08:52:18.719630
2025-09-15,MBB,MBB,Banks,26.85,26.6,0.9398496240601504,21483300,26.85,26.55,6.0,6.5,5.9,5.5,HOLD,2025-09-15T08:52:21.129432
2025-09-15,VHM,VHM,Real_Estate,104.5,105.5,-0.9478672985781991,2942600,104.7,102.5,5.7,6.5,4.8,6.0,HOLD,2025-09-15T08:52:23.508942
2025-09-15,VIC,VIC,Real_Estate,137.8,137.8,0.0,2142000,137.8,134.8,5.7,6.5,4.8,6.0,HOLD,2025-09-15T08:52:26.474124
2025-09-15,NVL,NVL,Real_Estate,15.65,15.75,-0.6349206349206327,16655400,15.85,15.4,5.7,6.5,4.8,6.0,HOLD,2025-09-15T08:52:29.508664
2025-09-15,DXG,DXG,Real_Estate,24.2,24.05,0.6237006237006177,16258900,24.5,23.9,5.9,6.5,5.3,6.0,HOLD,2025-09-15T08:52:31.698549
2025-09-15,HPG,HPG,Steel,30.35,30.0,1.1666666666666714,88920500,30.85,30.1,6.1,6.5,6.2,5.5,HOLD,2025-09-15T08:52:33.742560
2025-09-15,HSG,HSG,Steel,20.7,20.5,0.9756097560975575,13733500,21.2,20.55,6.0,6.5,5.7,6.0,HOLD,2025-09-15T08:52:36.251209
2025-09-15,NKG,NKG,Steel,19.7,19.6,0.5102040816326422,20079600,20.25,19.45,6.0,6.5,5.7,6.0,HOLD,2025-09-15T08:52:38.563745
2025-09-15,TLH,TLH,Steel,6.27,6.1,2.7868852459016384,1408000,6.28,6.1,6.3,6.5,6.7,5.5,HOLD,2025-09-15T08:52:40.525336
